team_home,team_away,goals_home,goals_away,season,league_division
JJ Vepo,ToTe/Arabia,2,3,2025,7
FC Lähiö,Valtti/4,2,1,2025,7
Tavastia/FC Mojo,FC Puimur,2,1,2025,7
Kasiysi/3,LPS/7,3,0,2025,7
FC POHU/Sober,Ponnistus/TK,7,1,2025,7
HeKuLa,FC POHU/Kova Kamppi,0,3,2025,7
Kullervo,MLHF/Reserves,1,6,2025,7
Kullervo/Überkleber,MoPo,4,1,2025,7
Kilo IF/2,FC Pakila,4,3,2025,7
AFC EMU,HPS/Rangers,1,2,2025,7
Trikiinit,PK-35/Äijät,6,0,2025,7
AC StaSi/Europort,Kullervo/Überkleber,4,0,2025,7
Valtti/4,Trikiinit,2,5,2025,7
FC Pakila,HeKuLa,0,0,2025,7
HPS/Rangers,FC POHU/Sober,1,1,2025,7
PK-35/Äijät,FC Lähiö,1,4,2025,7
LPS/7,Tavastia/FC Mojo,3,2,2025,7
MLHF/Reserves,Valtti/TDJ,1,1,2025,7
Ponnistus/TK,AFC EMU,0,1,2025,7
ToTe/Arabia,OT-77,0,3,2025,7
FC Puimur,KOPSE/CRPS FC,1,3,2025,7
MoPo,JJ Vepo,5,1,2025,7
FC POHU/Kova Kamppi,Kilo IF/2,4,0,2025,7
Cosmos,Käpylän Sekunda,1,2,2025,7
FC Puimur,HPS/Rangers,1,4,2025,7
LPS/7,FC POHU/Sober,0,2,2025,7
OT-77,Kullervo/Überkleber,6,1,2025,7
Kasiysi/3,Tavastia/FC Mojo,3,4,2025,7
Kullervo,Valtti/TDJ,1,1,2025,7
MLHF/Reserves,Trikiinit,1,5,2025,7
KOPSE/CRPS FC,Ponnistus/TK,1,0,2025,7
Cosmos,Valtti/4,1,1,2025,7
JJ Vepo,FC Pakila,0,2,2025,7
AC StaSi/Europort,Kilo IF/2,2,1,2025,7
Käpylän Sekunda,PK-35/Äijät,0,3,2025,7
ToTe/Arabia,HeKuLa,0,0,2025,7
Kullervo/Überkleber,JJ Vepo,3,0,2025,7
Trikiinit,Kullervo,4,1,2025,7
PK-35/Äijät,Cosmos,2,1,2025,7
FC Pakila,MoPo,5,1,2025,7
Kilo IF/2,OT-77,3,2,2025,7
Tavastia/FC Mojo,KOPSE/CRPS FC,6,1,2025,7
FC Lähiö,MLHF/Reserves,2,1,2025,7
FC POHU/Sober,Kasiysi/3,1,1,2025,7
AFC EMU,LPS/7,3,2,2025,7
Ponnistus/TK,FC Puimur,3,1,2025,7
HeKuLa,AC StaSi/Europort,1,2,2025,7
FC POHU/Kova Kamppi,ToTe/Arabia,6,0,2025,7
Valtti/TDJ,Käpylän Sekunda,5,0,2025,7
PK-35/Äijät,KOPSE/CRPS FC,2,2,2025,7
Ponnistus/TK,ToTe/Arabia,3,1,2025,7
MoPo,FC POHU/Sober,1,5,2025,7
FC Lähiö,Tavastia/FC Mojo,3,1,2025,7
LPS/7,HeKuLa,2,0,2025,7
Kullervo/Überkleber,HPS/Rangers,0,5,2025,7
JJ Vepo,AC StaSi/Europort,1,6,2025,7
Kilo IF/2,Kullervo,1,3,2025,7
Käpylän Sekunda,FC Pakila,3,2,2025,7
Trikiinit,Cosmos,2,1,2025,7
FC POHU/Kova Kamppi,Valtti/TDJ,2,5,2025,7
Kasiysi/3,OT-77,1,0,2025,7
FC Pakila,Kullervo/Überkleber,2,5,2025,7
Kullervo,Trikiinit,1,5,2025,7
KOPSE/CRPS FC,MLHF/Reserves,2,2,2025,7
AC StaSi/Europort,Valtti/4,1,3,2025,7
Cosmos,Kasiysi/3,2,1,2025,7
Tavastia/FC Mojo,FC POHU/Kova Kamppi,3,2,2025,7
AFC EMU,LPS/7,4,0,2025,7
HPS/Rangers,Ponnistus/TK,2,2,2025,7
HeKuLa,JJ Vepo,2,2,2025,7
ToTe/Arabia,FC Lähiö,3,4,2025,7
FC POHU/Sober,FC Puimur,2,2,2025,7
Valtti/TDJ,Käpylän Sekunda,2,3,2025,7
Kullervo/Überkleber,Tavastia/FC Mojo,3,2,2025,7
Valtti/TDJ,HPS/Rangers,3,0,2025,7
OT-77,MoPo,0,1,2025,7
Kasiysi/3,Kullervo,0,4,2025,7
